issue_id,user_story_id,issue_titulo,user_story,match
16,1,admin menu error,"As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",True
17,1,"Admin cache refresh doesn't work, No response.","As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",False
18,1,"For security reasons, you cannot connect to the back office until you have:  SSL is activated. Please connect using the following link to log in to secure mode (https://)","As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",False
19,1,Error installing PrestaShop 8 locally,"As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",False
20,1,Bad badge when update to 8.2.2,"As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",False
21,1,probleme-with-php-8.2-in Prestashop-8.2,"As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",False
22,1,Prestashop Minimal product quantity,"As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",False
23,1,Wall of fame - BO not iso with figma,"As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",False
24,1,SwagCommercial cannot be activated after updating to 7.1.1,"As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",False
25,1,Media preview file name not centered,"As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",False
26,1,Product Description overwriting HTML Code,"As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",True
27,1,Thumbnails not generated,"As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",True
28,1,Squished line item document text,"As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",True
29,1,Cloud: Unable to create a Google Shopping saleschannel,"As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",False
30,1,SwagCommercial cannot be activated after updating to 7.1.1,"As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",False
31,1,Media preview file name not centered,"As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",False
32,1,Product Description overwriting HTML Code,"As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",True
33,1,Thumbnails not generated,"As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",True
34,1,Squished line item document text,"As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",True
35,1,Cloud: Unable to create a Google Shopping saleschannel,"As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",False
36,1,The new reports in woo are terrible.,"As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",False
37,1,problem in woocommerce at the end of shipping,"As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",False
38,1,Mark the ‘Set up payments’ task as in progress on WooCommerce Home when live WooPayments onboarding started,"As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",True
39,1,[Payments NOX] Store in subdirectory can't switch to live through NOX flow,"As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",False
40,1,Add REST API and hooks documentations to repository,"As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",True
41,1,The editor is not showing previewCart data for the checkout blocks,"As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",False
0,2,Price ranges filter takes only min_price for configurable products,"As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ",False
1,2,Frozen loop in orders page,"As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ",False
2,2,"Braintree: ""Client token has expired"" error - Token not regenerated automatically on checkout","As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ",False
3,2,2.4.8-p1 datepicker - position is wrong on touch devices,"As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ",False
4,2,Import less file from app/design to custom module,"As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ",False
5,2,2.4.7-p5 - Print Order button is not showing on order view page at frontend side,"As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ",False
6,2,Exception thrown: 'System.InvalidOperationException' in System.Private.CoreLib.dll: 'The given ColumnMapping does not match up with any column in the source or destination.',"As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ",True
7,2,"Homepage URL doesn't have ""/en"" when ""SEO friendly URLs with multiple languages"" setting is enabled","As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ",True
8,2,MySQL Container Fails: Identifier name too long in Docker Compose Setup,"As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ",False
9,2,Bulk edit products. Editing products without SKU,"As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ",False
10,2,"Discount Limitation ""N Times Per Customer"" Not Enforced for Guest Customers","As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ",False
11,2,Use ISO 8601 with timezone for DateTime properties in the JSON-LD models,"As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ",False
12,2,Item removal handler conflicting with coupon removal button in shopping cart,"As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ",False
13,2,Opencart demo website not working,"As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ",False
14,2,New,"As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ",True
15,2,"Inconsistency in validations, controllers without trim Opencart 3.0.4.1 and older.","As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ",False
16,2,admin menu error,"As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ",True
17,2,"Admin cache refresh doesn't work, No response.","As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ",False
18,2,"For security reasons, you cannot connect to the back office until you have:  SSL is activated. Please connect using the following link to log in to secure mode (https://)","As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ",False
19,2,Error installing PrestaShop 8 locally,"As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ",False
20,2,Bad badge when update to 8.2.2,"As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ",False
21,2,probleme-with-php-8.2-in Prestashop-8.2,"As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ",False
22,2,Prestashop Minimal product quantity,"As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ",False
23,2,Wall of fame - BO not iso with figma,"As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ",False
24,2,SwagCommercial cannot be activated after updating to 7.1.1,"As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ",False
25,2,Media preview file name not centered,"As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ",False
26,2,Product Description overwriting HTML Code,"As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ",False
27,2,Thumbnails not generated,"As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ",False
28,2,Squished line item document text,"As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ",False
29,2,Cloud: Unable to create a Google Shopping saleschannel,"As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ",False
30,2,SwagCommercial cannot be activated after updating to 7.1.1,"As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ",False
31,2,Media preview file name not centered,"As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ",False
32,2,Product Description overwriting HTML Code,"As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ",False
33,2,Thumbnails not generated,"As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ",False
34,2,Squished line item document text,"As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ",True
35,2,Cloud: Unable to create a Google Shopping saleschannel,"As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ",False
36,2,The new reports in woo are terrible.,"As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ",False
37,2,problem in woocommerce at the end of shipping,"As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ",False
38,2,Mark the ‘Set up payments’ task as in progress on WooCommerce Home when live WooPayments onboarding started,"As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ",False
39,2,[Payments NOX] Store in subdirectory can't switch to live through NOX flow,"As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ",True
40,2,Add REST API and hooks documentations to repository,"As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ",False
41,2,The editor is not showing previewCart data for the checkout blocks,"As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ",False
0,3,Price ranges filter takes only min_price for configurable products,"As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",False
1,3,Frozen loop in orders page,"As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",False
2,3,"Braintree: ""Client token has expired"" error - Token not regenerated automatically on checkout","As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",False
3,3,2.4.8-p1 datepicker - position is wrong on touch devices,"As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",False
4,3,Import less file from app/design to custom module,"As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",False
5,3,2.4.7-p5 - Print Order button is not showing on order view page at frontend side,"As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",False
6,3,Exception thrown: 'System.InvalidOperationException' in System.Private.CoreLib.dll: 'The given ColumnMapping does not match up with any column in the source or destination.',"As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",False
7,3,"Homepage URL doesn't have ""/en"" when ""SEO friendly URLs with multiple languages"" setting is enabled","As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",True
8,3,MySQL Container Fails: Identifier name too long in Docker Compose Setup,"As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",False
9,3,Bulk edit products. Editing products without SKU,"As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",True
10,3,"Discount Limitation ""N Times Per Customer"" Not Enforced for Guest Customers","As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",True
11,3,Use ISO 8601 with timezone for DateTime properties in the JSON-LD models,"As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",False
12,3,Item removal handler conflicting with coupon removal button in shopping cart,"As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",True
13,3,Opencart demo website not working,"As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",False
14,3,New,"As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",True
15,3,"Inconsistency in validations, controllers without trim Opencart 3.0.4.1 and older.","As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",False
16,3,admin menu error,"As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",True
17,3,"Admin cache refresh doesn't work, No response.","As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",False
18,3,"For security reasons, you cannot connect to the back office until you have:  SSL is activated. Please connect using the following link to log in to secure mode (https://)","As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",False
19,3,Error installing PrestaShop 8 locally,"As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",False
20,3,Bad badge when update to 8.2.2,"As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",False
21,3,probleme-with-php-8.2-in Prestashop-8.2,"As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",True
22,3,Prestashop Minimal product quantity,"As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",False
23,3,Wall of fame - BO not iso with figma,"As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",True
24,3,SwagCommercial cannot be activated after updating to 7.1.1,"As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",False
25,3,Media preview file name not centered,"As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",False
26,3,Product Description overwriting HTML Code,"As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",True
27,3,Thumbnails not generated,"As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",False
28,3,Squished line item document text,"As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",True
29,3,Cloud: Unable to create a Google Shopping saleschannel,"As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",False
30,3,SwagCommercial cannot be activated after updating to 7.1.1,"As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",False
31,3,Media preview file name not centered,"As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",False
32,3,Product Description overwriting HTML Code,"As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",True
33,3,Thumbnails not generated,"As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",False
34,3,Squished line item document text,"As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",True
35,3,Cloud: Unable to create a Google Shopping saleschannel,"As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",False
36,3,The new reports in woo are terrible.,"As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",False
37,3,problem in woocommerce at the end of shipping,"As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",False
38,3,Mark the ‘Set up payments’ task as in progress on WooCommerce Home when live WooPayments onboarding started,"As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",True
39,3,[Payments NOX] Store in subdirectory can't switch to live through NOX flow,"As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",True
40,3,Add REST API and hooks documentations to repository,"As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",False
41,3,The editor is not showing previewCart data for the checkout blocks,"As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",False
0,4,Price ranges filter takes only min_price for configurable products,"As a marketeer, I want to create friendly URLs for my nested product pages, so I can improve the SE ranking of the product section of my website ",False
1,4,Frozen loop in orders page,"As a marketeer, I want to create friendly URLs for my nested product pages, so I can improve the SE ranking of the product section of my website ",False
2,4,"Braintree: ""Client token has expired"" error - Token not regenerated automatically on checkout","As a marketeer, I want to create friendly URLs for my nested product pages, so I can improve the SE ranking of the product section of my website ",False
3,4,2.4.8-p1 datepicker - position is wrong on touch devices,"As a marketeer, I want to create friendly URLs for my nested product pages, so I can improve the SE ranking of the product section of my website ",False
4,4,Import less file from app/design to custom module,"As a marketeer, I want to create friendly URLs for my nested product pages, so I can improve the SE ranking of the product section of my website ",False
5,4,2.4.7-p5 - Print Order button is not showing on order view page at frontend side,"As a marketeer, I want to create friendly URLs for my nested product pages, so I can improve the SE ranking of the product section of my website ",False
6,4,Exception thrown: 'System.InvalidOperationException' in System.Private.CoreLib.dll: 'The given ColumnMapping does not match up with any column in the source or destination.',"As a marketeer, I want to create friendly URLs for my nested product pages, so I can improve the SE ranking of the product section of my website ",True
7,4,"Homepage URL doesn't have ""/en"" when ""SEO friendly URLs with multiple languages"" setting is enabled","As a marketeer, I want to create friendly URLs for my nested product pages, so I can improve the SE ranking of the product section of my website ",True
8,4,MySQL Container Fails: Identifier name too long in Docker Compose Setup,"As a marketeer, I want to create friendly URLs for my nested product pages, so I can improve the SE ranking of the product section of my website ",False
9,4,Bulk edit products. Editing products without SKU,"As a marketeer, I want to create friendly URLs for my nested product pages, so I can improve the SE ranking of the product section of my website ",True
10,4,"Discount Limitation ""N Times Per Customer"" Not Enforced for Guest Customers","As a marketeer, I want to create friendly URLs for my nested product pages, so I can improve the SE ranking of the product section of my website ",False
11,4,Use ISO 8601 with timezone for DateTime properties in the JSON-LD models,"As a marketeer, I want to create friendly URLs for my nested product pages, so I can improve the SE ranking of the product section of my website ",False
12,4,Item removal handler conflicting with coupon removal button in shopping cart,"As a marketeer, I want to create friendly URLs for my nested product pages, so I can improve the SE ranking of the product section of my website ",False
13,4,Opencart demo website not working,"As a marketeer, I want to create friendly URLs for my nested product pages, so I can improve the SE ranking of the product section of my website ",False
14,4,New,"As a marketeer, I want to create friendly URLs for my nested product pages, so I can improve the SE ranking of the product section of my website ",True
15,4,"Inconsistency in validations, controllers without trim Opencart 3.0.4.1 and older.","As a marketeer, I want to create friendly URLs for my nested product pages, so I can improve the SE ranking of the product section of my website ",False
16,4,admin menu error,"As a marketeer, I want to create friendly URLs for my nested product pages, so I can improve the SE ranking of the product section of my website ",True
17,4,"Admin cache refresh doesn't work, No response.","As a marketeer, I want to create friendly URLs for my nested product pages, so I can improve the SE ranking of the product section of my website ",False
18,4,"For security reasons, you cannot connect to the back office until you have:  SSL is activated. Please connect using the following link to log in to secure mode (https://)","As a marketeer, I want to create friendly URLs for my nested product pages, so I can improve the SE ranking of the product section of my website ",False
19,4,Error installing PrestaShop 8 locally,"As a marketeer, I want to create friendly URLs for my nested product pages, so I can improve the SE ranking of the product section of my website ",False
20,4,Bad badge when update to 8.2.2,"As a marketeer, I want to create friendly URLs for my nested product pages, so I can improve the SE ranking of the product section of my website ",False
21,4,probleme-with-php-8.2-in Prestashop-8.2,"As a marketeer, I want to create friendly URLs for my nested product pages, so I can improve the SE ranking of the product section of my website ",False
