repositório,título,user_story_match,similaridade
PrestaShop/PrestaShop,Prestashop Minimal product quantity,"As a main editor, I want to configure workflow on classification-level, so that I can control what editors are allowed to use several terms which are used on specific site parts / facets in order to prevent publishing faulty content ",0.2912
PrestaShop/PrestaShop,Wall of fame - BO not iso with figma,"As a system administrator, I want to  define presentation variants in my presentation configuration xml file, so I can easily and efficiently deploy my presentation throughout DTAP ",0.1939
shopware/platform,SwagCommercial cannot be activated after updating to 7.1.1,"As a main editor, I want to configure workflow on media item-level for specific content types, so that I can control who can modify what specific item in order to prevent editors from publishing faulty content ",0.2037
shopware/platform,Media preview file name not centered,"As an editor, I want to search on media item titles and terms in the Media Repository in an case insensitive way, so the number of media item results are increased, and I find relevant media items more efficiently. ",0.333
shopware/platform,Product Description overwriting HTML Code,"As a main editor, I want to configure workflow on classification-level, so that I can control what editors are allowed to use several terms which are used on specific site parts / facets in order to prevent publishing faulty content ",0.4241
shopware/platform,Thumbnails not generated,"As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",0.2338
shopware/platform,Squished line item document text,"As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",0.2654
shopware/platform,Cloud: Unable to create a Google Shopping saleschannel,"As a marketeer, I want to create friendly URLs for my nested product pages, so I can improve the SE ranking of the product section of my website ",0.3002
shopware/shopware,SwagCommercial cannot be activated after updating to 7.1.1,"As a main editor, I want to configure workflow on media item-level for specific content types, so that I can control who can modify what specific item in order to prevent editors from publishing faulty content ",0.2037
shopware/shopware,Media preview file name not centered,"As an editor, I want to search on media item titles and terms in the Media Repository in an case insensitive way, so the number of media item results are increased, and I find relevant media items more efficiently. ",0.333
shopware/shopware,Product Description overwriting HTML Code,"As a main editor, I want to configure workflow on classification-level, so that I can control what editors are allowed to use several terms which are used on specific site parts / facets in order to prevent publishing faulty content ",0.4241
shopware/shopware,Thumbnails not generated,"As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",0.2338
shopware/shopware,Squished line item document text,"As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ",0.2654
shopware/shopware,Cloud: Unable to create a Google Shopping saleschannel,"As a marketeer, I want to create friendly URLs for my nested product pages, so I can improve the SE ranking of the product section of my website ",0.3002
woocommerce/woocommerce,The new reports in woo are terrible.,"As a marketeer, I want to set canonical tags to individual pages, so I can avoid duplicate content easily without having to set permanent redirects, and thereby will improve the SE ranking of the website. ",0.2431
woocommerce/woocommerce,problem in woocommerce at the end of shipping,"As a marketeer, I want to be solve URL conflicts immediately, so I avoid not-friendly URLs and thereby, will postively influence the overall SE ranking of the website ",0.3536
woocommerce/woocommerce,Mark the ‘Set up payments’ task as in progress on WooCommerce Home when live WooPayments onboarding started,"As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",0.288
woocommerce/woocommerce,[Payments NOX] Store in subdirectory can't switch to live through NOX flow,"As a marketeer, I want to be solve URL conflicts immediately, so I avoid not-friendly URLs and thereby, will postively influence the overall SE ranking of the website ",0.317
woocommerce/woocommerce,Add REST API and hooks documentations to repository,"As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",0.2395
woocommerce/woocommerce,The editor is not showing previewCart data for the checkout blocks,"As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",0.2641
